"species_id","english_common_name","sporder","family","genus","species","mass","sd","sex","subspecies","location","name_mismatch","name_notes","not_in_dunning","close_genus","close_species","close_subspecies","close_species_notes","aou"
27,"Egyptian Goose","Anseriformes","Anatidae","Alopochen","aegyptiaca",1873,NA,"m",NA,NA,1,"Alopochen aegyptiana",NA,NA,NA,NA,NA,20630
28,"Muscovy Duck","Anseriformes","Anatidae","Cairina","moschata",2042,NA,"f",NA,NA,NA,NA,NA,NA,NA,NA,NA,10210
28,"Muscovy Duck","Anseriformes","Anatidae","Cairina","moschata",2858,NA,"m",NA,NA,NA,NA,NA,NA,NA,NA,NA,10210
77,"Plain Chachalaca","Galliformes","Cracidae","Ortalis","vetula",542,52,"f",NA,"Texas, USA",NA,NA,NA,NA,NA,NA,NA,3110
77,"Plain Chachalaca","Galliformes","Cracidae","Ortalis","vetula",584,58,"m",NA,"Texas, USA",NA,NA,NA,NA,NA,NA,NA,3110
85,"Mountain Quail","Galliformes","Odontophoridae","Oreortyx","pictus",233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2920
90,"Northern Bobwhite","Galliformes","Odontophoridae","Colinus","virginianus",166,NA,NA,"ridgwayi","Sonora, Mexico",NA,NA,NA,NA,NA,NA,NA,2890
90,"Northern Bobwhite","Galliformes","Odontophoridae","Colinus","virginianus",178,NA,NA,NA,"Illinois, USA",NA,NA,NA,NA,NA,NA,NA,2890
92,"Scaled Quail","Galliformes","Odontophoridae","Callipepla","squamata",177,NA,"f",NA,NA,NA,NA,NA,NA,NA,NA,NA,2930
92,"Scaled Quail","Galliformes","Odontophoridae","Callipepla","squamata",191,NA,"m",NA,NA,NA,NA,NA,NA,NA,NA,NA,2930
94,"California Quail","Galliformes","Odontophoridae","Callipepla","californica",151,NA,NA,"achrustera","Baja California Sur, Mexico",NA,NA,NA,NA,NA,NA,NA,2940
94,"California Quail","Galliformes","Odontophoridae","Callipepla","californica",162,16.5,"f","californica","California, USA",NA,NA,NA,NA,NA,NA,NA,2940
94,"California Quail","Galliformes","Odontophoridae","Callipepla","californica",186,15.7,"m","californica","California, USA",NA,NA,NA,NA,NA,NA,NA,2940
95,"Gambel's Quail","Galliformes","Odontophoridae","Callipepla","gambelii",162,NA,"f",NA,NA,NA,NA,NA,NA,NA,NA,NA,2950
95,"Gambel's Quail","Galliformes","Odontophoridae","Callipepla","gambelii",170,NA,"m",NA,NA,NA,NA,NA,NA,NA,NA,NA,2950
96,"Montezuma Quail","Galliformes","Odontophoridae","Cyrtonyx","montezumae",179,19.5,"f",NA,NA,NA,NA,NA,NA,NA,NA,NA,2960
96,"Montezuma Quail","Galliformes","Odontophoridae","Cyrtonyx","montezumae",192,14.2,"m",NA,NA,NA,NA,NA,NA,NA,NA,NA,2960
100,"Chukar","Galliformes","Phasianidae","Alectoris","chukar",466,NA,"f","pubescens","Hopei, China",NA,NA,NA,NA,NA,NA,NA,2882
100,"Chukar","Galliformes","Phasianidae","Alectoris","chukar",541,NA,"m","pubescens","Hopei, China",NA,NA,NA,NA,NA,NA,NA,2882
103,"Gray Partridge","Galliformes","Phasianidae","Perdix","perdix",393,34,"f",NA,"North Dakota, USA",NA,NA,NA,NA,NA,NA,NA,2881
103,"Gray Partridge","Galliformes","Phasianidae","Perdix","perdix",418,28,"m",NA,"North Dakota, USA",NA,NA,NA,NA,NA,NA,NA,2881
104,"Ring-necked Pheasant","Galliformes","Phasianidae","Phasianus","colchicus",953,NA,"f",NA,NA,NA,NA,NA,NA,NA,NA,NA,3091
